,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,logNumVotes,FilmRating
167609,tt12801262,movie,Luca,Luca,0,2021,\N,95,"Adventure,Animation,Comedy",0.74,176490,0.8144832147761376,6.027175789343419
119518,tt0351283,movie,Madagascar,Madagascar,0,2005,\N,86,"Adventure,Animation,Comedy",0.6900000000000001,420016,0.872936910017668,6.02326467912191
231435,tt2953050,movie,Encanto,Encanto,0,2021,\N,102,"Animation,Comedy,Family",0.72,240006,0.8352076164225932,6.013494838242671
105322,tt0275847,movie,Lilo & Stitch,Lilo & Stitch,0,2002,\N,85,"Adventure,Animation,Comedy",0.73,201593,0.8234489605994111,6.011177412375702
78939,tt0169858,movie,Neon Genesis Evangelion: The End of Evangelion,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",0,1997,\N,87,"Action,Animation,Drama",0.8099999999999999,59299,0.7409518498200751,6.001709983542608
112802,tt0312004,movie,Wallace & Gromit: The Curse of the Were-Rabbit,The Curse of the Were-Rabbit,0,2005,\N,85,"Adventure,Animation,Comedy",0.75,141076,0.7993838175590711,5.9953786316930335
282783,tt7979580,movie,The Mitchells vs the Machines,The Mitchells vs the Machines,0,2021,\N,114,"Adventure,Animation,Comedy",0.76,117904,0.7872870645363801,5.983381690476489
137278,tt0481499,movie,The Croods,The Croods,0,2013,\N,98,"Action,Adventure,Animation",0.72,223977,0.8305476179949683,5.979942849563772
11247,tt0032455,movie,Fantasia,Fantasia,0,1940,\N,124,"Animation,Family,Fantasy",0.77,100349,0.776418094894275,5.978419330685918
276387,tt7146812,movie,Onward,Onward,0,2020,\N,102,"Adventure,Animation,Comedy",0.74,159499,0.8076586799717673,5.976674231791078
37714,tt0070608,movie,Robin Hood,Robin Hood,0,1973,\N,83,"Adventure,Animation,Comedy",0.75,133343,0.7955831719373501,5.9668737895301245
57782,tt0104652,movie,Porco Rosso,Kurenai no buta,0,1992,\N,94,"Adventure,Animation,Comedy",0.77,95050,0.7727605755597309,5.950256431809928
202494,tt1865505,movie,Song of the Sea,Song of the Sea,0,2014,\N,93,"Adventure,Animation,Drama",0.8,60965,0.7428198447132974,5.942558757706379
27231,tt0055254,movie,One Hundred and One Dalmatians,One Hundred and One Dalmatians,0,1961,\N,79,"Adventure,Animation,Comedy",0.73,175142,0.8139663080564692,5.941954048812224
193473,tt16492678,movie,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,0,2021,\N,87,"Action,Animation,Fantasy",0.89,19771,0.6669010630535475,5.935419461176572
207226,tt2013293,movie,The Wind Rises,Kaze tachinu,0,2013,\N,126,"Animation,Biography,Drama",0.77,91264,0.7700202418292664,5.929155862085351
161318,tt1185616,movie,Waltz with Bashir,Vals Im Bashir,0,2008,\N,90,"Animation,Biography,Documentary",0.8,59193,0.740831228104711,5.926649824837689
18019,tt0042332,movie,Cinderella,Cinderella,0,1950,\N,74,"Animation,Family,Fantasy",0.73,167544,0.8109762290993541,5.9201264724252844
142809,tt0851578,movie,Paprika,Paprika,0,2006,\N,90,"Animation,Drama,Fantasy",0.77,88568,0.7679986475397209,5.913589586055851
221211,tt2386490,movie,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,0,2019,\N,104,"Action,Adventure,Animation",0.74,139988,0.7988618609620487,5.911577771119161
246529,tt4116284,movie,The Lego Batman Movie,The Lego Batman Movie,0,2017,\N,104,"Action,Adventure,Animation",0.73,162949,0.8091014082015259,5.9064402798711395
183473,tt1488589,movie,Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,0,2022,\N,117,"Animation,Drama,Family",0.76,101439,0.7771464512850612,5.906313029766466
256828,tt5109280,movie,Raya and the Last Dragon,Raya and the Last Dragon,0,2021,\N,107,"Action,Adventure,Animation",0.73,161286,0.8084098245584665,5.901391719276806
142366,tt0837562,movie,Hotel Transylvania,Hotel Transylvania,0,2012,\N,91,"Adventure,Animation,Comedy",0.7,267812,0.8425981122459029,5.89818678572132
189226,tt1568921,movie,The Secret World of Arrietty,Karigurashi no Arietty,0,2010,\N,94,"Adventure,Animation,Drama",0.76,97790,0.7746765566463496,5.887541830512257
180569,tt1446192,movie,Rise of the Guardians,Rise of the Guardians,0,2012,\N,97,"Action,Adventure,Animation",0.72,184779,0.8175774706076268,5.886557788374912
