,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
202768,The Amazing Spider-Man 2,0,2014,142,"Action,Adventure,Sci-Fi",5.854
163185,The World's End,0,2013,109,"Action,Comedy,Sci-Fi",5.852
166914,Venom,0,2018,112,"Action,Adventure,Sci-Fi",5.848
154947,TRON: Legacy,0,2010,125,"Action,Adventure,Sci-Fi",5.848
140648,The Incredible Hulk,0,2008,112,"Action,Adventure,Sci-Fi",5.846
51874,Spaceballs,0,1987,96,"Adventure,Comedy,Sci-Fi",5.84
238723,Black Widow,0,2021,134,"Action,Adventure,Sci-Fi",5.828
231764,Batman v Superman: Dawn of Justice,0,2016,151,"Action,Adventure,Sci-Fi",5.817
205089,The Hunger Games: Mockingjay - Part 1,0,2014,123,"Action,Adventure,Sci-Fi",5.816
186265,Melancholia,0,2011,135,"Drama,Sci-Fi",5.816
127154,The Island,0,2005,136,"Action,Sci-Fi,Thriller",5.814
67757,Open Your Eyes,0,1997,119,"Drama,Mystery,Sci-Fi",5.802
186888,Elysium,0,2013,109,"Action,Drama,Sci-Fi",5.801
153973,Paul,0,2011,104,"Adventure,Comedy,Sci-Fi",5.801
134590,X-Men Origins: Wolverine,0,2009,107,"Action,Sci-Fi",5.766
61259,Stargate,0,1994,116,"Action,Adventure,Sci-Fi",5.756
230388,Coherence,0,2013,89,"Drama,Mystery,Sci-Fi",5.744
53184,They Live,0,1988,94,"Action,Horror,Sci-Fi",5.742
128133,War of the Worlds,0,2005,116,"Action,Adventure,Sci-Fi",5.716
44946,Escape from New York,0,1981,99,"Action,Adventure,Sci-Fi",5.705
171971,Never Let Me Go,0,2010,103,"Drama,Romance,Sci-Fi",5.704
7106,The Bride of Frankenstein,0,1935,75,"Drama,Horror,Sci-Fi",5.698
228298,Bird Box,0,2018,124,"Horror,Mystery,Sci-Fi",5.697
194571,Take Shelter,0,2011,121,"Drama,Horror,Sci-Fi",5.686
65155,The Lost World: Jurassic Park,0,1997,129,"Action,Adventure,Sci-Fi",5.685
230453,Lucy,0,2014,89,"Action,Sci-Fi,Thriller",5.675
154356,Nope,0,2022,130,"Horror,Mystery,Sci-Fi",5.672
128771,Spider-Man 3,0,2007,139,"Action,Adventure,Sci-Fi",5.66
255530,Maanaadu,0,2021,147,"Action,Adventure,Sci-Fi",5.644
61782,The City of Lost Children,0,1995,112,"Drama,Fantasy,Sci-Fi",5.643
22902,Invasion of the Body Snatchers,0,1956,80,"Drama,Horror,Sci-Fi",5.642
114454,The Day After Tomorrow,0,2004,124,"Action,Adventure,Sci-Fi",5.628
135649,The Host,0,2006,120,"Drama,Horror,Sci-Fi",5.628
43226,Mad Max,0,1979,88,"Action,Adventure,Sci-Fi",5.628
132105,Terminator Salvation,0,2009,115,"Action,Adventure,Sci-Fi",5.619
142141,Godzilla,0,2014,123,"Action,Adventure,Sci-Fi",5.592
205090,The Hunger Games: Mockingjay - Part 2,0,2015,137,"Action,Adventure,Sci-Fi",5.589
127446,John Carter,0,2012,132,"Action,Adventure,Sci-Fi",5.581
65912,Resident Evil,0,2002,100,"Action,Horror,Sci-Fi",5.581
47532,Videodrome,0,1983,87,"Horror,Sci-Fi,Thriller",5.579
84454,Blade II,0,2002,117,"Action,Horror,Sci-Fi",5.57
273905,Glass,0,2019,129,"Drama,Horror,Sci-Fi",5.54
47551,WarGames,0,1983,114,"Action,Drama,Sci-Fi",5.535
196860,Ender's Game,0,2013,114,"Action,Adventure,Sci-Fi",5.527
42144,Invasion of the Body Snatchers,0,1978,115,"Horror,Sci-Fi",5.525
123067,The Hitchhiker's Guide to the Galaxy,0,2005,109,"Adventure,Comedy,Sci-Fi",5.522
260243,Life,0,2017,104,"Horror,Sci-Fi,Thriller",5.515
110152,The Chronicles of Riddick,0,2004,119,"Action,Adventure,Sci-Fi",5.506
82401,Terminator 3: Rise of the Machines,0,2003,109,"Action,Sci-Fi",5.489
91198,2046,0,2004,129,"Drama,Romance,Sci-Fi",5.487
22795,Forbidden Planet,0,1956,98,"Adventure,Sci-Fi",5.484
58831,Demolition Man,0,1993,115,"Action,Sci-Fi,Thriller",5.479
56925,Star Trek VI: The Undiscovered Country,0,1991,110,"Action,Adventure,Sci-Fi",5.472
65974,The X Files,0,1998,121,"Drama,Mystery,Sci-Fi",5.47
252746,Bumblebee,0,2018,114,"Action,Adventure,Sci-Fi",5.462
57183,Alien³,0,1992,114,"Action,Horror,Sci-Fi",5.455
62755,Strange Days,0,1995,145,"Crime,Drama,Sci-Fi",5.454
49452,The Return of the Living Dead,0,1985,91,"Comedy,Horror,Sci-Fi",5.454
161451,Triangle,0,2009,99,"Fantasy,Mystery,Sci-Fi",5.451
82683,Bicentennial Man,0,1999,132,"Drama,Romance,Sci-Fi",5.446
46787,The Dead Zone,0,1983,103,"Drama,Horror,Sci-Fi",5.442
218615,Alien: Covenant,0,2017,122,"Horror,Sci-Fi,Thriller",5.429
202599,Batman v Superman: Dawn of Justice (Ultimate Edition),0,2016,182,"Action,Adventure,Sci-Fi",5.424
37666,Fantastic Planet,0,1973,72,"Animation,Sci-Fi",5.423
176950,Transformers: Dark of the Moon,0,2011,154,"Action,Adventure,Sci-Fi",5.414
51793,The Running Man,0,1987,101,"Action,Sci-Fi,Thriller",5.412
64862,Event Horizon,0,1997,96,"Horror,Sci-Fi,Thriller",5.407
