,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
183591,Unresolved Sexual Tension,0,2010,93,"Comedy,Romance",2.7145057734321556
15468,Four Hearts,0,1945,88,"Comedy,Romance",2.7134584748926986
9309,Mister Max,0,1937,86,"Comedy,Romance",2.713304831983913
291149,Through Night and Day,0,2018,100,"Comedy,Romance",2.712352788482262
207020,Small World,0,2008,144,"Comedy,Romance",2.712352788482262
63359,Wake Up Love,0,1996,98,"Comedy,Romance",2.708805716316289
192560,Fool for Love,0,2010,95,"Comedy,Romance",2.707368318406626
163200,Love Hurts,0,2009,90,"Comedy,Romance",2.702997025645462
9797,Judge Hardy's Children,0,1938,78,"Comedy,Romance",2.7022713376491265
258425,I Married an Anti-Fan,0,2016,120,"Comedy,Romance",2.7018988582064725
73477,Cha Cha Cha,0,1998,109,"Comedy,Romance",2.699400984154499
12070,"A Girl, a Guy, and a Gob",0,1941,90,"Comedy,Romance",2.6992177109201885
236036,Sevkat Yerimdar,0,2013,100,"Comedy,Romance",2.6990604892702272
81583,Captain Fandis Bastounis,0,1968,95,"Comedy,Romance",2.6989299010088503
16917,My Dear Secretary,0,1948,94,"Comedy,Romance",2.698097104182455
284830,Hab,0,2020,89,"Comedy,Romance",2.6964904812350463
259053,Her Sey Asktan,0,2016,100,"Comedy,Romance",2.696478162426529
117967,Conduct Zero,0,2002,99,"Comedy,Romance",2.6953153797260465
135281,Rules of Dating,0,2005,121,"Comedy,Romance",2.6952203924561258
183410,At Midnight,0,2023,100,"Comedy,Romance",2.6940297879337747
12257,Million Dollar Baby,0,1941,100,"Comedy,Romance",2.6933812062785285
139951,Murali Krishnudu,0,1988,130,"Comedy,Romance",2.6932891660957514
106512,Amy's Orgasm,0,2001,87,"Comedy,Romance",2.691921446746475
5319,The Half-Naked Truth,0,1932,77,"Comedy,Romance",2.691611027989389
186484,Watch Out from Alkhot,0,1984,106,"Comedy,Romance",2.691199098568615
257706,Evcilik Oyunu,0,1975,89,"Comedy,Romance",2.6900102682640497
160567,"Evet, ich will!",0,2008,90,"Comedy,Romance",2.6877759298779353
147543,Odessa,0,2019,130,"Comedy,Romance",2.686943609158658
192793,What Happens Next,0,2011,100,"Comedy,Romance",2.6863059683862818
25285,But Not for Me,0,1959,111,"Comedy,Romance",2.6861831147218487
4002,The Taming of the Shrew,0,1929,63,"Comedy,Romance",2.6855579090312465
200973,Uthama Puthiran,0,2010,169,"Comedy,Romance",2.6844450589685707
23997,Pop Cira i pop Spira,0,1957,82,"Comedy,Romance",2.684010822740117
47411,Spring Break,0,1983,102,"Comedy,Romance",2.6831292610701856
178603,"It's Not You, It's Me",0,2010,101,"Comedy,Romance",2.6830526211965027
173606,Pyaar Impossible,0,2010,140,"Comedy,Romance",2.682146952153843
181538,Poligamy,0,2009,85,"Comedy,Romance",2.6806487077775385
29460,Leader,0,1964,176,"Comedy,Romance,Thriller",2.6806360183657074
278725,2nd Date Sex,0,2019,98,"Comedy,Romance",2.6799430084715548
16897,Miss Tatlock's Millions,0,1948,101,"Comedy,Romance",2.67894511205009
161794,2 States,0,2020,131,"Comedy,Romance",2.6780425938226458
194162,What Women Want,0,2011,116,"Comedy,Romance,Sci-Fi",2.676781072277784
276763,Co gai den tu hom qua,0,2017,120,"Comedy,Romance",2.676022467839914
122544,50 Ways to Leave Your Lover,0,2004,95,"Comedy,Romance",2.675849317898153
27860,The Swingin' Maiden,0,1962,98,"Comedy,Romance",2.675390693039251
98565,Nebe a dudy,0,1941,95,"Comedy,Romance",2.675382006824748
153571,Happy Hardy and Heer,0,2020,123,"Comedy,Romance",2.6752334695991022
225875,Rangabali,0,2023,137,"Comedy,Romance",2.6751860796554077
159093,Park Benches,0,2009,110,"Comedy,Romance",2.674051462210116
187153,Zot van A.,0,2010,120,"Comedy,Romance",2.6739998450023412
113808,Laughter and Punishment,0,2003,94,"Comedy,Romance",2.673295919938658
209293,Aya of Yop City,0,2013,84,"Animation,Comedy,Romance",2.672368565686108
27820,"Han, Hun, Dirch og Dario",0,1962,106,"Comedy,Romance",2.672296361546129
98785,Hai Hai Nayaka,0,1989,\N,"Comedy,Romance",2.672155300966568
206462,Trap.com,0,2011,95,"Comedy,Romance",2.67197808993659
17178,Adam and Evalyn,0,1949,92,"Comedy,Romance",2.6696784333381363
84839,Rich and Poor,0,1983,92,"Comedy,Romance",2.669325280863961
104961,Londre,0,1966,90,"Comedy,Romance",2.668691902556663
203554,Kung Fu Wing Chun,0,2010,110,"Action,Comedy,Romance",2.6681906440295364
122243,Pride and Prejudice,0,2003,104,"Comedy,Romance",2.6673386315480476
44733,Back Roads,0,1981,94,"Adventure,Comedy,Romance",2.664410322244311
208019,You're My Pet,0,2011,110,"Comedy,Romance",2.6630328848023916
66649,The Second Wife,0,1998,122,"Comedy,Romance",2.662498308062874
262869,Permitidos,0,2016,106,"Comedy,Romance",2.660741762070078
124605,Red Nose,0,2003,114,"Comedy,Romance",2.6604288228254425
284053,All You Need Is Love,0,2018,113,"Comedy,Romance",2.659687243905954
292966,Fall In Love At First Kiss,0,2019,122,"Comedy,Romance",2.6594259668029334
9220,The Perfect Specimen,0,1937,97,"Comedy,Romance",2.659303719405903
42340,The One and Only,0,1978,97,"Comedy,Romance",2.6581770276464054
197030,Unicorn City,0,2012,103,"Comedy,Romance",2.658118713391722
54485,True Love,0,1989,104,"Comedy,Romance",2.6579333997138033
4815,The Lady and the Beard,0,1931,75,"Comedy,Romance",2.656600185866434
198453,A Big Love Story,0,2012,92,"Comedy,Romance",2.6562264185095747
17631,Ojôsan kanpai,0,1949,89,"Comedy,Romance",2.6558371636409057
174714,Boxing Day,0,2021,109,"Comedy,Romance",2.6552509396573183
179258,A Fiancé for Christmas,0,2021,85,"Comedy,Romance",2.6552272275635724
163222,White Wedding,0,2009,93,"Comedy,Romance",2.654715553131507
115306,Chasing Papi,0,2003,80,"Comedy,Romance",2.6532260121219786
78082,Tri muskarca Melite Zganjer,0,1998,97,"Comedy,Romance",2.6529755482929196
136875,Booha,0,2005,106,"Comedy,Romance",2.6514893647985343
160254,8 Dates,0,2008,95,"Comedy,Romance",2.6511349062259493
29946,Story of My Foolishness,0,1966,83,"Comedy,Romance",2.6504271604083973
247407,De Onde Eu Te Vejo,0,2016,113,"Comedy,Romance",2.650214282976046
12882,Her Cardboard Lover,0,1942,93,"Comedy,Romance",2.6498770501417486
62546,Pie in the Sky,0,1995,95,"Comedy,Romance",2.649795985329329
226213,When a Wolf Falls in Love with a Sheep,0,2012,86,"Comedy,Romance",2.6490404935649603
49655,Urusei Yatsura 3: Remember My Love,0,1985,93,"Animation,Comedy,Romance",2.648964409525706
264416,The Feels,0,2017,90,"Comedy,Romance",2.648089388797405
25006,Solwah Saal,0,1958,135,"Comedy,Romance,Thriller",2.6477447237176204
165190,A Very Special Love,0,2008,106,"Comedy,Romance",2.6459140614242265
190836,Lock-Load-Love,0,2009,65,"Comedy,Romance",2.645358157525588
28970,Tammy and the Doctor,0,1963,88,"Comedy,Romance",2.644757691671839
210050,365 Days of Happiness,0,2011,130,"Comedy,Romance",2.6443023692885212
75844,Dillagi,0,1978,\N,"Comedy,Romance",2.642961912571441
107988,The One and Only,0,2002,91,"Comedy,Romance",2.6426913563105248
9728,Give Me a Sailor,0,1938,80,"Comedy,Romance",2.6426653514191227
196809,Qualquer Gato Vira-Lata,0,2011,95,"Comedy,Romance",2.6412536200936785
86013,Nine Bachelors,0,1939,125,"Comedy,Romance",2.641043389909405
248683,Meu Passado Me Condena 2: O Filme,0,2015,105,"Comedy,Romance",2.6398180216526566
103147,Biwi-O-Biwi,0,1981,156,"Comedy,Romance",2.639712244226751
2163,Her Night of Romance,0,1924,70,"Comedy,Romance",2.6391566840552234
12592,You Belong to Me,0,1941,94,"Comedy,Romance",2.6385262013673194
100766,Love Under the Date-Tree,0,1990,82,"Comedy,Romance",2.6375553500129705
146032,Miracle on 1st Street,0,2007,113,"Comedy,Romance,Sport",2.636398663651655
192001,Conception,0,2011,88,"Comedy,Romance",2.636287854194844
12017,Father Takes a Wife,0,1941,79,"Comedy,Romance",2.6361994585404784
7235,The Farmer Takes a Wife,0,1935,91,"Comedy,Romance",2.6360051417866504
28818,Nurse on Wheels,0,1963,85,"Comedy,Romance",2.6336918404110925
140300,Elliot Loves,0,2012,92,"Comedy,Romance",2.6328034661133386
251471,Mannenharten 2,0,2015,92,"Comedy,Romance",2.6324005903029963
220262,The Food Guide to Love,0,2013,91,"Comedy,Romance",2.631751303115288
36760,Four Times That Night,0,1971,83,"Comedy,Romance",2.6315855635307654
14569,"See Here, Private Hargrove",0,1944,101,"Comedy,Romance,War",2.6313845989260614
138033,When Romance Meets Destiny,0,2005,104,"Comedy,Romance",2.6312814911055717
15150,She Wouldn't Say Yes,0,1945,87,"Comedy,Romance",2.630612679615736
206776,Trailer Park Jesus,0,2012,80,"Comedy,Romance",2.6301194569134987
80552,Pyar Kiye Jaa,0,1966,129,"Comedy,Romance",2.629253558738144
30573,A Very Special Favor,0,1965,105,"Comedy,Romance",2.6290645512247535
256796,The Importance of Doubting Tom,0,2020,\N,"Comedy,Romance",2.6288522582479
235034,Vanakkam Chennai,0,2013,143,"Comedy,Romance",2.6268419025602574
40345,Olympian Holiday,0,1976,113,"Comedy,Romance",2.6255778740500437
191457,Love and Other Troubles,0,2012,87,"Comedy,Romance",2.6245938728830986
2024,Rosita,0,1923,99,"Comedy,Romance",2.6243428677627216
9463,Woman Chases Man,0,1937,71,"Comedy,Romance",2.6233566321991155
284441,Let Me Introduce You to Sofia,0,2018,98,"Comedy,Romance",2.6225065063721957
130445,Nynne,0,2005,94,"Comedy,Romance",2.6213282223101704
164911,Mariachi Gringo,0,2012,107,"Comedy,Romance",2.6204559659885476
39456,The Man Who Couldn't Say No,0,1975,103,"Comedy,Romance",2.620324291772031
16079,Film Without a Name,0,1948,99,"Comedy,Romance",2.6197430319342176
75302,The Beloved Woman of Mechanic Gavrilov,0,1982,79,"Comedy,Romance",2.619469848271447
126108,Hari Om,0,2004,108,"Comedy,Romance",2.6189293301743906
145066,Don't Laugh at My Romance,0,2007,137,"Comedy,Romance",2.618064069310933
58412,Versailles Rive-Gauche,0,1992,45,"Comedy,Romance",2.61791807405938
14061,What a Woman!,0,1943,94,"Comedy,Romance",2.617841133397385
138269,Spin,0,2007,90,"Comedy,Romance",2.617715362887061
50801,The Whoopee Boys,0,1986,88,"Comedy,Romance",2.616611527128933
22579,The Ambassador's Daughter,0,1956,103,"Comedy,Romance",2.6164671145940437
204903,18 Years Old and Rising,0,2011,92,"Comedy,Romance",2.6156686805907063
270702,You Choose!,0,2017,95,"Comedy,Romance",2.6151581024368746
27539,Love Mates,0,1961,108,"Comedy,Romance",2.6141183117484124
63404,Ed's Next Move,0,1996,88,"Comedy,Romance",2.6132872552332436
