,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
273001,Everything Everywhere All at Once,0,2022,139,"Action,Adventure,Comedy",6.859374408549989
146155,Sherlock Holmes,0,2009,128,"Action,Adventure,Mystery",6.858724951455345
163067,Doctor Strange,0,2016,115,"Action,Adventure,Fantasy",6.854378014203135
115618,The Last Samurai,0,2003,154,"Action,Drama",6.850302871046202
51725,Predator,0,1987,107,"Action,Adventure,Horror",6.830049278810919
256403,Dangal,0,2016,161,"Action,Biography,Drama",6.827143084431961
260476,Deadpool 2,0,2018,119,"Action,Adventure,Comedy",6.826116052270014
47929,Ghostbusters,0,1984,105,"Action,Comedy,Fantasy",6.818826088000911
159074,Zombieland,0,2009,88,"Action,Comedy,Horror",6.815855432900682
73311,Spider-Man,0,2002,121,"Action,Adventure,Sci-Fi",6.808610424243432
177642,Star Trek Into Darkness,0,2013,132,"Action,Adventure,Sci-Fi",6.802151091405378
165689,Kick-Ass,0,2010,117,"Action,Comedy,Crime",6.797673448367241
205088,The Hunger Games: Catching Fire,0,2013,146,"Action,Adventure,Sci-Fi",6.795893886112187
244069,Baby Driver,0,2017,113,"Action,Crime,Drama",6.793029124623823
129372,Harry Potter and the Half-Blood Prince,0,2009,153,"Action,Adventure,Family",6.788936270173131
82340,Minority Report,0,2002,145,"Action,Crime,Mystery",6.788724223552615
128372,Watchmen,0,2009,162,"Action,Drama,Mystery",6.786514627315217
123159,The Bourne Supremacy,0,2004,108,"Action,Mystery,Thriller",6.785820663469471
170464,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi",6.765523961401816
71759,Training Day,0,2001,122,"Action,Crime,Drama",6.760583212219075
145503,The Fighter,0,2010,116,"Action,Biography,Drama",6.7544221932037445
221546,Avengers: Age of Ultron,0,2015,141,"Action,Adventure,Sci-Fi",6.742512515832978
227794,Fury,0,2014,134,"Action,Drama,War",6.740229060109528
285383,The Gentlemen,0,2019,113,"Action,Comedy,Crime",6.734345192947762
123432,Harry Potter and the Order of the Phoenix,0,2007,138,"Action,Adventure,Family",6.731553877554158
230840,John Wick,0,2014,101,"Action,Crime,Thriller",6.717709072431384
132503,Kung Fu Panda,0,2008,92,"Action,Adventure,Animation",6.716017084230927
193377,How to Train Your Dragon 2,0,2014,102,"Action,Adventure,Animation",6.71300257039359
64887,The Fifth Element,0,1997,126,"Action,Adventure,Sci-Fi",6.71163827725011
102877,Black Hawk Down,0,2001,144,"Action,Drama,History",6.708571822263737
216458,Spider-Man: Homecoming,0,2017,133,"Action,Adventure,Sci-Fi",6.7049899932680965
133642,Wonder Woman,0,2017,141,"Action,Adventure,Fantasy",6.698936400872391
113836,Spider-Man 2,0,2004,127,"Action,Adventure,Sci-Fi",6.698883450256639
273616,Guardians of the Galaxy Vol. 3,0,2023,150,"Action,Adventure,Comedy",6.697990634162374
68890,The Iron Giant,0,1999,86,"Action,Adventure,Animation",6.69726965626335
200580,Black Panther,0,2018,134,"Action,Adventure,Sci-Fi",6.693946735480082
176484,The Hunger Games,0,2012,142,"Action,Adventure,Sci-Fi",6.683008316881232
210358,Dawn of the Planet of the Apes,0,2014,130,"Action,Adventure,Drama",6.673797546259676
85230,"Crouching Tiger, Hidden Dragon",0,2000,120,"Action,Adventure,Drama",6.673370850555294
237499,Sicario,0,2015,121,"Action,Crime,Drama",6.668644030900889
136122,Apocalypto,0,2006,139,"Action,Adventure,Drama",6.668255429733335
145062,Source Code,0,2011,93,"Action,Drama,Mystery",6.667546906296353
115959,Man on Fire,0,2004,146,"Action,Crime,Drama",6.660970013801189
183554,The Lego Movie,0,2014,100,"Action,Adventure,Animation",6.660397382914046
163612,Ip Man,0,2008,106,"Action,Biography,Drama",6.656926712653157
125128,Pirates of the Caribbean: Dead Man's Chest,0,2006,151,"Action,Adventure,Fantasy",6.651682600506428
48008,Indiana Jones and the Temple of Doom,0,1984,118,"Action,Adventure",6.650704052716288
192556,Avatar: The Way of Water,0,2022,192,"Action,Adventure,Fantasy",6.648313964339383
58982,The Fugitive,0,1993,130,"Action,Crime,Drama",6.642948512438137
152308,K.G.F: Chapter 2,0,2022,168,"Action,Crime,Drama",6.634004437192517
124463,Serenity,0,2005,119,"Action,Adventure,Sci-Fi",6.633777920753342
254733,Mission: Impossible - Fallout,0,2018,147,"Action,Adventure,Thriller",6.6290876306737765
167283,Looper,0,2012,119,"Action,Drama,Sci-Fi",6.628384268472583
136939,Ant-Man,0,2015,117,"Action,Comedy,Sci-Fi",6.622057900338984
61873,Die Hard with a Vengeance,0,1995,128,"Action,Adventure,Thriller",6.606054665823432
108873,X2: X-Men United,0,2003,134,"Action,Sci-Fi,Thriller",6.605910261472376
149357,John Wick: Chapter 4,0,2023,169,"Action,Crime,Thriller",6.5988498196654035
137148,I Am Legend,0,2007,101,"Action,Drama,Horror",6.588050095312672
124810,3:10 to Yuma,0,2007,122,"Action,Crime,Drama",6.583913561218293
133005,Scott Pilgrim vs. the World,0,2010,112,"Action,Comedy,Fantasy",6.5753471719340535
65975,X-Men,0,2000,104,"Action,Adventure,Sci-Fi",6.5719987107483515
52153,Akira,0,1988,124,"Action,Animation,Drama",6.570130467866768
148797,Shershaah,0,2021,135,"Action,Biography,Drama",6.569348236652176
269553,Spider-Man: Far from Home,0,2019,129,"Action,Adventure,Comedy",6.568824359409769
29599,A Fistful of Dollars,0,1964,99,"Action,Drama,Western",6.562812700764465
164130,Mission: Impossible - Ghost Protocol,0,2011,132,"Action,Adventure,Thriller",6.553907976034628
169089,Iron Man 3,0,2013,130,"Action,Adventure,Sci-Fi",6.548468150629793
122696,Collateral,0,2004,120,"Action,Crime,Drama",6.544698031461593
65212,Men in Black,0,1997,98,"Action,Adventure,Comedy",6.53825799846926
249879,John Wick: Chapter 2,0,2017,122,"Action,Crime,Thriller",6.530703527772667
43767,The Blues Brothers,0,1980,133,"Action,Adventure,Comedy",6.518942245153509
185301,Sherlock Holmes: A Game of Shadows,0,2011,129,"Action,Adventure,Mystery",6.5135063652812715
53461,Batman,0,1989,126,"Action,Adventure",6.5111822212580694
49433,Ran,0,1985,162,"Action,Drama,War",6.510582578923433
194675,Ready Player One,0,2018,140,"Action,Adventure,Sci-Fi",6.5034407377719425
139716,Man of Steel,0,2013,143,"Action,Adventure,Sci-Fi",6.500834970503231
27525,Yojimbo,0,1961,110,"Action,Drama,Thriller",6.495273374332059
273113,Tenet,0,2020,150,"Action,Sci-Fi,Thriller",6.4933643935900065
240478,Incredibles 2,0,2018,118,"Action,Adventure,Animation",6.483854197902508
45953,First Blood,0,1982,93,"Action,Adventure,Thriller",6.480594722960697
95420,The Matrix Reloaded,0,2003,138,"Action,Sci-Fi",6.467329013684116
213484,American Sniper,0,2014,133,"Action,Biography,Drama",6.4650757490176005
232987,Creed,0,2015,133,"Action,Drama,Sport",6.461952305259279
110757,Hero,0,2002,120,"Action,Adventure,Drama",6.459052221700404
140702,Thor,0,2011,115,"Action,Fantasy",6.456318297663525
147727,All Quiet on the Western Front,0,2022,148,"Action,Drama,War",6.451171712864005
291662,Shang-Chi and the Legend of the Ten Rings,0,2021,132,"Action,Adventure,Fantasy",6.445017524375576
